Open time,Open,High,Low,Close,Volume
10/14/2018,201.39,203.56,194.33,197.01,110554.1936
10/15/2018,196.84,239,194.6,214.39,973857.7477
10/16/2018,214.39,219.95,211.55,215.09,145980.0984
10/17/2018,215.2,216.99,210,212.85,153768.8502
10/18/2018,212.9,215.3,203.53,206.24,150229.601
10/19/2018,206.25,208,204.21,205,254660.4864
10/20/2018,205.1,209.69,203.57,207.91,62376.6968
10/21/2018,207.91,211.99,206.74,207.49,83277.36128
10/22/2018,207.46,209.3,205,206.67,206046.8996
10/23/2018,206.67,207.8,202.14,205.85,112753.0414
10/24/2018,205.85,207.95,204.73,205.35,97128.82698
10/25/2018,205.35,205.94,202.88,203.93,77411.57217
10/26/2018,203.84,209,203,204.92,91143.83291
10/27/2018,204.92,206.15,203.09,204.45,50235.68329
10/28/2018,204.45,205.94,203.62,204.99,44394.83357
10/29/2018,204.99,205.49,195.28,196.96,118281.8227
10/30/2018,196.95,198.6,195.91,197.27,83633.81463
10/31/2018,197.24,201.45,193.01,198.73,114739.7042
11/1/2018,198.7,200.95,197.88,199.96,86097.98629
11/2/2018,199.93,203.74,199.34,202.35,97123.22813
11/3/2018,202.31,202.69,198.59,200.31,72084.92932
11/4/2018,200.27,218.76,199,212.11,182534.6216
11/5/2018,212.13,213.39,207.62,210.66,141432.1406
11/6/2018,210.64,221.25,209.11,220.74,197797.4953
11/7/2018,220.77,224.8,217.01,219.07,204931.0342
11/8/2018,219.06,220.78,212.49,212.79,189828.4945
11/9/2018,212.79,215.51,209.1,210.77,152215.9469
11/10/2018,210.78,215.55,209.02,213.25,131384.4789
11/11/2018,213.27,213.99,209,212.54,136268.8116
11/12/2018,212.6,214.22,210.9,212.89,99963.97203
11/13/2018,212.91,213.8,209.2,209.84,114466.3671
11/14/2018,209.84,210.3,176.16,187.43,434676.1683
11/15/2018,187.43,190,170.99,184.35,452416.1078
11/16/2018,184.35,185,173,176.89,241710.3476
11/17/2018,176.93,177.91,173.94,176.2,144804.7099
11/18/2018,176.2,182.94,176.1,178.97,141736.3226
11/19/2018,179.04,179.33,146.47,150.81,596789.8392
11/20/2018,150.76,154.7,126.95,133.82,996552.2872
11/21/2018,133.68,142.01,127.15,138.23,718957.7855
11/22/2018,138.36,140.4,125.64,126.63,334674.0719
11/23/2018,126.58,128.9,118.56,125.02,504352.2439
11/24/2018,125,130.81,112.32,114.89,471321.5676
11/25/2018,114.83,122.35,102.95,118.67,836233.3125
11/26/2018,118.65,121.5,106.41,110.68,679491.7387
11/27/2018,110.66,114.31,102.36,111.43,524024.4062
11/28/2018,111.38,126.8,111.37,122.9,578552.7412
11/29/2018,122.88,124,114.78,117.98,478777.3961
11/30/2018,117.99,120.26,111.09,113.73,418593.6353
12/1/2018,113.71,120.8,111.35,118.1,330159.0674
12/2/2018,118.09,120.73,116,116.57,273657.6215
12/3/2018,116.63,116.96,106.7,108.76,324446.0332
12/4/2018,108.76,113.2,106,109.94,275321.0063
12/5/2018,109.92,110.58,102.38,102.71,354071.5324
12/6/2018,102.73,104.68,90.2,91,586138.5904
12/7/2018,91.18,96.9,82.07,93.05,1030073.585
12/8/2018,93.06,98,84.55,90.38,698217.1253
12/9/2018,90.39,98.7,88.63,93.26,520519.3602
12/10/2018,93.26,95.21,88.11,89.91,408573.0293
12/11/2018,89.88,91.65,85.83,87.76,339991.8425
12/12/2018,87.77,91.31,86.63,89.41,285436.0403
12/13/2018,89.39,90.71,84.71,86.34,331218.3008
12/14/2018,86.35,87.25,82.2,83.82,318003.7343
12/15/2018,83.82,85,81.79,83.76,217360.6578
12/16/2018,83.75,87.64,83.73,84.67,241366.7631
12/17/2018,84.68,97,84.4,94.02,472252.2339
12/18/2018,94.03,101.3,91.34,100.39,529946.7918
12/19/2018,100.39,107.55,97.75,98.74,827748.591
12/20/2018,98.73,116,97.88,114.05,859612.5721
12/21/2018,113.71,118,104.76,107.69,666048.7179
12/22/2018,107.67,115.5,105.38,115.2,405672.8312
12/23/2018,115.18,131.94,114.91,129.03,936094.1049
12/24/2018,129.03,157.67,128.8,138.03,1319609.817
12/25/2018,138.01,139.26,119.68,127.6,1076164.128
12/26/2018,127.61,135.32,122.51,129.35,794834.056
12/27/2018,129.35,131.09,111.22,113.8,752177.9011
12/28/2018,113.75,136.66,111.87,135.3,894454.1905
12/29/2018,135.3,145.42,128.5,132.89,1006654.498
12/30/2018,133,139,127.03,137.77,704259.4161
12/31/2018,137.81,138.66,128.7,131.45,484604.8396
1/1/2019,131.45,140.67,130,139.1,401776.888
1/2/2019,139.1,155.37,137.76,152.01,941486.3152
1/3/2019,152.01,153.64,143.11,146.3,708091.3171
1/4/2019,146.3,154.8,143.54,151.97,805248.9382
1/5/2019,152.08,159.26,151.2,152.83,773169.1374
1/6/2019,152.83,157.4,147.51,153.86,627908.4737
1/7/2019,153.89,155.48,147.86,149.34,424765.3026
1/8/2019,149.29,151.65,145.2,147.6,441661.0678
1/9/2019,147.62,151.5,146.77,148.1,299443.563
1/10/2019,148.11,149.45,121,124.95,871751.7504
1/11/2019,124.96,127.36,120.08,124.65,545293.9837
1/12/2019,124.67,126.19,122,123.35,300262.134
1/13/2019,123.35,124.25,111.87,114.16,422561.9678
1/14/2019,114.17,130.05,113.94,126.95,546420.4085
1/15/2019,126.95,129.4,116,118.95,649020.5297
1/16/2019,118.93,126.88,118.52,121.48,513486.6547
1/17/2019,121.49,122.99,116.8,121.54,447535.2272
1/18/2019,121.56,121.98,117.66,119.17,235646.684
1/19/2019,119.16,125.29,119.14,122.6,323303.793
1/20/2019,122.61,123.32,115.68,117.47,451792.8535
1/21/2019,117.56,118.5,113.61,115.63,303632.9346
1/22/2019,115.62,119.49,111.39,117.81,359542.6387
1/23/2019,117.8,118.95,114.8,116.44,230247.6158
1/24/2019,116.4,117.15,113.61,116.39,216242.2983
1/25/2019,116.4,117.5,114.3,115.11,198617.0811
1/26/2019,115.13,118,115,115.34,146216.8282
1/27/2019,115.32,116.15,111.04,112.05,247369.6056
1/28/2019,112.04,112.87,100.91,105.5,566205.7829
1/29/2019,105.49,106.61,102.22,104.45,319768.9135
1/30/2019,104.41,109.8,103.45,108.29,330968.1927
1/31/2019,108.29,110.61,105.46,106.44,290679.6194
2/1/2019,106.47,108.35,103.77,106.73,243149.8844
2/2/2019,106.71,111.15,106.07,110.42,186908.7573
2/3/2019,110.41,111.11,105.82,107.36,227211.5406
2/4/2019,107.33,109.3,106.57,107.68,160850.1029
2/5/2019,107.65,108.18,106.47,107.27,159730.1886
2/6/2019,107.28,107.83,101.21,104.5,337204.3025
2/7/2019,104.49,106.18,103.82,104.48,147942.0768
2/8/2019,104.48,123,103.41,119.25,589950.6493
2/9/2019,119.32,121.99,117.64,119.19,328067.9574
2/10/2019,119.19,126.49,115.81,125.12,385819.0962
2/11/2019,125.12,125.28,119.24,120.89,389405.304
2/12/2019,120.88,123.89,118.18,122.41,343765.6699
2/13/2019,122.4,126.47,120.7,121.86,317827.3196
2/14/2019,121.86,124.5,120.1,120.42,297205.7874
2/15/2019,120.47,124.25,120.19,121.67,255296.0814
2/16/2019,121.66,124.99,121.54,122.67,215320.7013
2/17/2019,122.67,135.61,122.43,133.75,614788.6008
2/18/2019,133.77,148.3,132.42,145.69,1079830.15
2/19/2019,145.69,150,142.36,143.44,747968.9045
2/20/2019,143.45,149.52,139.6,148.44,614303.6101
2/21/2019,148.42,149.61,142.7,145.69,447364.4087
2/22/2019,145.68,148.85,143.85,147.36,366251.1854
2/23/2019,147.4,159.6,145.78,157.79,588183.729
2/24/2019,157.75,166,131.7,132.1,1260506.807
2/25/2019,132.1,141.55,131.89,137.87,801147.0954
